"Version","Version"
"All Customer Groups","All Customer Groups"
"Customer Group","Customer Group"
"General Settings","General Settings"
"Enabled","Enabled"
"Customer Groups Available For Selection","Customer Groups Available For Selection"
"The customer group(s) selected above will be shown as dropdown during new account registration.","The customer group(s) selected above will be shown as dropdown during new account registration."
"Is Customer Group Editable By Customer?","Is Customer Group Editable By Customer?"
"If selected to Yes then customer can edit the Customer Group from: My Account > Account Information.","If selected to Yes then customer can edit the Customer Group from: My Account > Account Information."
"Customer Group Label","Customer Group Label"
"This label will be shown for customer group selection field.","This label will be shown for customer group selection field."